Project Name,Cluster Name,Project Type,City,County,State,Digester Type,Status,Year Operational,Animal/Farm Type(s), Cattle , Dairy , Poultry , Swine ,Co-Digestion, Biogas Generation Estimate (cu-ft/day) , Electricity Generated (kWh/yr) ,Biogas End Use(s),LCFS Pathway,System Designer(s)/Developer(s) and Affiliates,Receiving Utility, Total Emission Reductions (MTCO2e/yr) ,Awarded USDA Funding?
Maple Creek Farms - Holland Digester,,Farm Scale,Leoti,Wichita,KS,Covered Lagoon,Construction,2024,Swine,,,," 43,200 ",,,,CNG,,,," 44,298 ",
Maple Creek Farms - Roberts 1 Digester,,Farm Scale,Leoti,Wichita,KS,Covered Lagoon,Construction,2024,Swine,,,," 43,200 ",,,,CNG,,,," 44,298 ",
Maple Creek Farms - Roberts 2 Digester,,Farm Scale,Leoti,Wichita,KS,Covered Lagoon,Construction,2024,Swine,,,," 21,600 ",,,,CNG,,,," 22,149 ",
Maple Creek Farms - Spradling Digester,,Farm Scale,Leoti,Wichita,KS,Covered Lagoon,Construction,2024,Swine,,,," 43,200 ",,,,CNG,,,," 44,298 ",
Maple Creek Farms - Woelk Digester,,Farm Scale,Leoti,Wichita,KS,Covered Lagoon,Construction,2024,Swine,,,," 21,600 ",,,,CNG,,,," 22,149 ",
McCarty Farms Digester,,Farm Scale,Rexford,Thomas,KS,Complete Mix,Construction,2024,Dairy,," 12,325 ",,,,,,CNG,,Vanguard Renewables [Project Developer],," 116,045 ",
Seaboard Foods - Bergkamp Digester,,Farm Scale,Leoti,Wichita,KS,Covered Lagoon,Construction,2024,Swine,,,," 34,560 ",,,,CNG,,,," 35,438 ",
Seaboard Foods - Ladder Creek East Digesters,,Farm Scale,Tribune,Greeley,KS,Covered Lagoon,Operational,2023,Swine,,,," 198,000 ",,,,CNG,,,," 203,032 ",
Seaboard Foods - Ladder Creek West Digesters,,Farm Scale,Hooker,Greeley,KS,Covered Lagoon,Operational,2023,Swine,,,," 132,000 ",,,,CNG,,,," 135,355 ",
Spandet Dairy Digester,,Farm Scale,Cimarron,Gray,KS,Mixed Plug Flow,Construction,2024,Dairy,," 12,000 ",,,,,,CNG,,,," 112,985 ",
Tuls Dairy Digester,,Farm Scale,Liberal,Seward,KS,Mixed Plug Flow,Construction,2024,Dairy,," 5,100 ",,,,,,CNG,,,," 48,019 ",
MAC Farm Digester,,Farm Scale,Campbellsville,Taylor,KY,Primary digester tank with secondary covered lagoon,Operational,2014,Poultry,,," 160,000 ",,"Agricultural Residues; Beverage and Distillery Wastes; Dairy Processing Wastes; Fats, Oils, Greases; Food Processing Wastes; Food Wastes; Process Water; Slaughterhouses; Other Feedstocks",," 3,300,000 ",Electricity,,"Eagle Green Energy, Inc. [System Designer]; Eagle Green Energy, Inc. [System Design Engineer]; John McLean [Project Developer, System Designer]",East Kentucky Power," 6,611 ",
Barstow's Longview Farm Digester,,Farm Scale,Hadley,Hampshire,MA,Complete Mix,Operational,2013,Dairy,, 550 ,,,Food Wastes,," 7,000,000 ",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer, Construction & Installation]; Vanguard Renewables [Project Developer]",Eversource," 8,310 ",
Barway Farm Digester,,Farm Scale,Deerfield,Franklin,MA,Complete Mix,Operational,2017,Dairy,, 300 ,,,Food Wastes,,,Electricity,,"CH Four Biogas, Inc. [System Designer]; Vanguard Renewables [Project Developer]",," 6,166 ",Y
Crescent Farm Digester,,Farm Scale,Haverhill,Essex,MA,Complete Mix,Operational,2018,Dairy,, 500 ,,,Food Wastes," 345,600 "," 7,700,000 ",Cogeneration,,"CH4 Biogas, LLC [System Designer]; Vanguard Renewables [Project Developer]",National Grid," 5,504 ",
"Jordan Farms / AGreen Energy, LLC Digester",,Farm Scale,Rutland,Worcester,MA,Complete Mix,Operational,2011,Dairy,, 300 ,,,Food Wastes,," 3,700,000 ",Cogeneration,,"AGreen Energy, LLC [Project Developer, System Designer]; quasar energy group, LLC. [System Designer, System Design Engineer]; Vanguard Renewables [Project Developer]",National Grid," 5,027 ",Y
Jordan Farms Heifer Facility Digester,,Farm Scale,Spencer,Worcester,MA,Complete Mix,Operational,2019,Dairy,, 800 ,,,Food Wastes,,,Cogeneration,,Vanguard Renewables [Project Developer],," 7,468 ",
Luther Belden Farms Digester,,Farm Scale,Hatfield,Hampshire,MA,Complete Mix,Operational,2019,Cattle; Dairy, 30 , 174 ,,,Food Processing Wastes,," 2,365,200 ",Electricity,,"Ag-Grid Energy LLC [Project Developer]; Analytical Engineering, Inc (AEI) [System Design Engineer]; Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer]",," 3,149 ",Y
Pine Island Farm Digester,,Farm Scale,Sheffield,Berkshire,MA,Mixed Plug Flow,Operational,2011,Dairy,, 600 ,,,," 59,000 ",,Cogeneration,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",National Grid," 4,053 ",Y
Rockwood Farm Digester,,Farm Scale,Granville,Hampden,MA,Complete Mix,Operational,2019,Dairy,, 602 ,,,Food Wastes,," 3,287,628 ",Electricity,,"Ag-Grid Energy LLC [Project Developer]; Analytical Engineering, Inc (AEI) [System Design Engineer]; Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer]",," 5,705 ",
Millennium Farms Digester,,Farm Scale,Pocomoke City,Worcester,MD,Complete Mix,Operational,2017,Poultry,,," 80,000 ",,,," 100,000 ",Electricity; Boiler/Furnace fuel,,Planet Found Energy Development LLC [Project Developer],, 59 ,
USDA/ARS Research Facility Digester,,Research,Beltsville,Prince Georges,MD,Complete Mix,Operational,1994,Dairy,, 145 ,,,," 13,000 ",,Boiler/Furnace fuel,,"Agway [System Designer, System Design Engineer]",," 1,171 ",
Flood Brothers Farm Digester,,Multiple Farm/Facility,Clinton,Kennebec,ME,Mixed Plug Flow,Operational,2023,Dairy,," 5,275 ",,,,,,Pipeline Gas,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; Peaks Renewables, Inc. [Project Developer]; Regenis [Project Developer]",Summit Natural Gas," 18,501 ",
"Stonyvale Farm / Exeter Agri-Energy, LLC Digester",,Farm Scale,Exeter,Penobscot,ME,Complete Mix,Operational,2011,Dairy,," 1,500 ",,,Food Wastes,," 8,584,800 ",Electricity,,"CH Four Biogas, Inc. [System Designer, System Design Engineer]; Weston & Sampson [Project Developer, System Designer]",," 9,754 ",Y
Beaver Creek Dairy Digester,,Multiple Farm/Facility,Coopersville,Ottawa,MI,Unknown or Unspecified,Construction,2022,Dairy,," 3,000 ",,,,,,Pipeline Gas,,Brightmark [Project Developer],," 3,813 ",
Brook View Dairy Digester,,Farm Scale,Freeport,Barry,MI,Complete Mix,Operational,2008,Dairy,," 3,300 ",,,,," 11,913,600 ",Electricity; Boiler/Furnace fuel,Yes,"Organic Waste Systems (OWS), Inc. [Project Developer]; Phase 3 Developments & Investments, LLC [System Designer]; Specialty Concrete Construction [Construction & Installation]",," 32,461 ",Y
den Dulk Dairy Digester,,Farm Scale,Ravenna,Muskegon,MI,Complete Mix,Operational,2007,Dairy,," 1,000 ",,,,,,Cogeneration,,"entec biogas USA [Project Developer, System Designer]; Grand Valley State University [System Designer, System Design Engineer]",," 3,113 ",
Geerlings Hillside Farms Digester,,Multiple Farm/Facility,Hamilton,Allegan,MI,Complete Mix,Operational,2008,Dairy; Swine,, 450 ,," 16,000 ",Other Feedstocks,," 657,000 ",Cogeneration; Boiler/Furnace fuel,,"Organic Waste Systems (OWS), Inc. [Project Developer]; Phase 3 Developments & Investments, LLC [Project Developer, System Designer]; Specialty Concrete Construction [Construction & Installation]",," 6,051 ",Y
Green Meadow Dairy Digester,,Farm Scale,Elsie,Shiawassee,MI,Complete Mix,Operational,2007,Dairy,," 3,200 ",,,," 329,000 "," 6,500,000 ",Electricity,Yes,"Biogas Nord [System Designer]; Camco [Project Developer]; Michigan State University [System Designer, System Design Engineer]",Consumers Energy Company," 14,598 ",
Maple Row Dairy - Red Leaf RNG Digester,,Farm Scale,Saranac,Ionia,MI,Complete Mix,Operational,2023,Dairy,," 3,300 ",,,,,,CNG,,Novilla RNG [Project Developer],," 10,274 ",
Meadow Rock Dairy Digester,,Farm Scale,Greenville,Montcalm,MI,Unknown or Unspecified,Construction,2022,Dairy,," 3,020 ",,,,,,Pipeline Gas,,,ANR Pipeline," 31,867 ",
MSU ADREC Digester,,Research,Lansing,Ingham,MI,Complete Mix,Operational,2013,Dairy,, 360 ,,,"Dairy Processing Wastes; Fats, Oils, Greases; Food Processing Wastes; Food Wastes; Other Feedstocks"," 158,000 "," 2,800,000 ",Cogeneration,,"Michigan State University [System Designer, System Design Engineer]",," 2,715 ",
Ravenna Dairy Digester,,Farm Scale,Coopersville,Ottawa,MI,Complete Mix,Operational,2007,Dairy,," 3,100 ",,,," 80,000 "," 223,380 ",Cogeneration,,,," 9,810 ",
Red Arrow Dairy Digester,,Farm Scale,Hartford,Van Buren,MI,Unknown or Unspecified,Construction,2022,Dairy,," 5,750 ",,,,,,Pipeline Gas,,Brightmark [Project Developer],ANR Pipeline," 60,674 ",
Scenic View Dairy - Fennville Digester,,Multiple Farm/Facility,Fennville,Allegan,MI,Complete Mix,Operational,2006,Dairy; Swine,," 3,700 ",," 9,000 ","Fats, Oils, Greases; Process Water"," 324,000 "," 3,138,817 ",Cogeneration,,"Biogas Direct, LLC [System Designer, System Design Engineer]; Phase 3 Developments & Investments, LLC [System Designer, System Design Engineer]",Consumers Energy Company; Michigan Gas Utilities Corp," 34,908 ",Y
SunRyz Dairy Digester,,Farm Scale,Morenci,Lenawee,MI,Unknown or Unspecified,Construction,2022,Dairy,," 3,250 ",,,,,,Pipeline Gas,,Brightmark [Project Developer],Rover Pipeline," 34,294 ",
Willow Point Dairy Digester,,Farm Scale,Orleans,Ionia,MI,Mixed Plug Flow,Operational,2006,Dairy,," 3,830 ",,,Process Water,,,Boiler/Furnace fuel,Yes,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 37,242 ",
Ash Grove Dairy Digester,,Farm Scale,Lake Benton,Lincoln,MN,Complete Mix,Construction,,Dairy,," 2,000 ",,,,,,Pipeline Gas,,"Dynamic Group, LLC [Project Developer, System Designer]",," 7,872 ",
District 45 Dairy Digester - CNG,,Farm Scale,Hancock,Stevens,MN,Mixed Plug Flow,Operational,2020,Dairy,," 5,520 ",,,Process Water," 634,800 ",,CNG,Yes,"Amp Americas [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]",Alliance," 45,367 ",
Haubenschild Farms Digester,,Farm Scale,Princeton,Mille Lacs,MN,Horizontal Plug Flow,Operational,1999,Dairy,, 900 ,,,," 70,000 "," 1,226,400 ",Electricity; Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer]",East Central Energy," 3,390 ",
High Island Dairy Digester,,Farm Scale,Le Sueur,Le Sueur,MN,Complete Mix,Operational,2013,Dairy,," 3,000 ",,,," 374,400 "," 4,839,900 ",Cogeneration,Yes,"Northern Biogas [Project Developer, System Designer]",," 28,449 ",
Northern Plains Dairy Digester,,Farm Scale,St. Peter,Nicollet,MN,Horizontal Plug Flow,Operational,2003,Dairy,," 3,000 ",,,,," 2,803,200 ",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",," 10,384 ",
Riverview Dairy Digester - CNG,,Farm Scale,Morris,Stevens,MN,Mixed Plug Flow,Operational,2020,Dairy,," 7,665 ",,,," 881,475 ",,CNG,Yes,"Amp Americas [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]",Alliance," 59,783 ",
West River Dairy Digester - CNG,,Farm Scale,Morris,Stevens,MN,Mixed Plug Flow,Operational,2020,Dairy,," 6,300 ",,,," 724,500 ",,CNG,Yes,"Amp Americas [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]",Alliance," 51,581 ",
Hampton Feed Lot Digester,,Farm Scale,Triplet,Chariton,MO,Induced Blanket Reactor,Operational,2012,Cattle," 2,500 ",,,,,," 4,467,600 ",Electricity,,"Andigen [System Designer, System Design Engineer]; Cartwright Engineers [System Designer, System Design Engineer]",Kansas City Power and Light Company," 5,904 ",Y
Missouri University Campus Digester,,Research,Columbia,Boone,MO,Complete Mix,Operational,2014,Swine,,,, 10 ,,,,Flared Full-time,,"University of Missouri College of Agriculture, Food and Natural Resources [Project Developer]",, 4 ,
Roeslein Alternative Energy - Green Hills Farm Digester,Roeslein Northern Missouri,Farm Scale,Unionville,Putnam,MO,Covered Lagoon,Operational,2021,Swine,,,," 31,795 ",,,,Pipeline Gas,,Roeslein Alternative Energy [Project Developer],," 35,295 ",
Roeslein Alternative Energy - Homan Farm Digester,Roeslein Northern Missouri,Farm Scale,King City,Gentry,MO,Covered Lagoon,Operational,2020,Swine,,,," 32,000 ",,,,Pipeline Gas,,Roeslein Alternative Energy [Project Developer],," 35,522 ",
Roeslein Alternative Energy - Locust Ridge Farm Digester,Roeslein Northern Missouri,Farm Scale,Harris,Sullivan,MO,Covered Lagoon,Operational,2017,Swine,,,," 14,150 ",,,,Pipeline Gas,,Roeslein Alternative Energy [Project Developer],ANR Interstate Pipeline," 15,707 ",
Roeslein Alternative Energy - Ruckman Farm Digester,Roeslein Northern Missouri,Farm Scale,Albany,Gentry,MO,Covered Lagoon,Operational,2016,Swine,,,," 28,800 ",,,,Pipeline Gas,Yes,Roeslein Alternative Energy [Project Developer],ANR Interstate Pipeline," 31,970 ",
Roeslein Alternative Energy - Somerset Farm Digester,Roeslein Northern Missouri,Farm Scale,Mercer,Mercer,MO,Covered Lagoon,Operational,2021,Swine,,,," 85,000 ",,,,Pipeline Gas,,Roeslein Alternative Energy [Project Developer],," 94,356 ",
Roeslein Alternative Energy - South Meadows Farm Digester,Roeslein Northern Missouri,Farm Scale,Browning,Sullivan,MO,Covered Lagoon,Operational,2014,Swine,,,," 24,700 ",,,,Pipeline Gas,Yes,Roeslein Alternative Energy [Project Developer],," 27,419 ",
Roeslein Alternative Energy - Valley View Farm Digester,Roeslein Northern Missouri,Farm Scale,Green City,Sullivan,MO,Covered Lagoon,Operational,2017,Swine,,,," 21,000 ",,,,Pipeline Gas,Yes,Roeslein Alternative Energy [Project Developer],ANR Interstate Pipeline," 23,311 ",
Roeslein Alternative Energy - Whitetail Farm Digester,Roeslein Northern Missouri,Farm Scale,Unionville,Putnam,MO,Covered Lagoon,Operational,2021,Swine,,,," 79,500 ",,,,Pipeline Gas,,Roeslein Alternative Energy [Project Developer],," 88,250 ",
Brinson Farms Digester,,Farm Scale,Prentiss,Jefferson Davis,MS,Complete Mix,Operational,2005,Poultry,,," 270,000 ",,,," 558,450 ",Cogeneration; Boiler/Furnace fuel,,"Eagle Green Energy, Inc. [Project Developer, System Designer, System Design Engineer]",, 369 ,Y
Jones County Poultry Digester,,Farm Scale,Laurel,Jones,MS,Complete Mix,Operational,2010,Poultry,,," 84,000 ",,," 70,000 "," 876,000 ",Cogeneration,,"Eagle Green Energy, Inc. [Project Developer, System Designer, System Design Engineer]; Wayne Jones [System Designer, System Design Engineer]",, 616 ,Y
M&N Nursery Digester,,Farm Scale,Montpelier,Clay,MS,Covered Lagoon,Operational,2004,Swine,,,," 6,500 ",,," 88,700 ",Cogeneration; Boiler/Furnace fuel,,"Eagle Green Energy, Inc. [Project Developer, System Designer]; Environmental Fabrics, Inc. [System Designer, Biogas Membrane Supplier]",," 3,799 ",
Mills Dairy Digester,,Farm Scale,Forest,Scott,MS,Fixed Film/Attached Media,Operational,2004,Dairy,, 450 ,,,,," 306,600 ",Electricity; Boiler/Furnace fuel,,"Eagle Green Energy, Inc. [Project Developer, System Designer]",," 3,318 ",
Huls Dairy Digester,,Farm Scale,Corvallis,Ravalli,MT,Induced Blanket Reactor,Operational,2009,Dairy,, 750 ,,,," 36,000 "," 372,300 ",Electricity; Boiler/Furnace fuel,,"Andigen [System Designer, System Design Engineer]",Ravalli County Rural Electric Cooperative," 5,916 ",Y
Barham Farms Complete Mix Digester,,Farm Scale,Zebulon,Johnston,NC,Complete Mix,Operational,2012,Swine,,,,,Food Wastes,,,Boiler/Furnace fuel,,Julie Barham [Construction & Installation],,,
Barham Farms Lagoon Digester,,Farm Scale,Zebulon,Johnston,NC,Covered Lagoon,Operational,1997,Swine,,,," 4,000 ",Food Wastes," 28,000 ",,Boiler/Furnace fuel,,"Engineered Storage Products Company [System Designer]; Environmental Fabrics, Inc. [Biogas Membrane Supplier]",," 2,600 ",
Beam Dairy Digester,,Farm Scale,Cherryville,Gaston,NC,Mixed Plug Flow,Construction,,Dairy,," 1,618 ",,,,,,Pipeline Gas,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; Sustain RNG [Project Developer]",," 16,774 ",
Black Farms Digester,,Farm Scale,Lillington,Harnett,NC,Covered Lagoon,Operational,2008,Swine,,,," 6,000 ",,," 341,000 ",Electricity,,"ClimeCo Corporation [Project Developer, System Designer]; Environmental Fabrics, Inc. [Biogas Membrane Supplier]",South River Electric Membership Corporation (EMC)," 6,396 ",Y
Butler Farms Digester,,Farm Scale,Lillington,Harnett,NC,Covered Lagoon,Operational,2008,Swine,,,," 7,890 ",," 32,000 "," 275,000 ",Electricity,,ClimeCo Corporation [Project Developer]; Martin Construction Resource LLC (formerly RCM) [System Designer],South River EMC," 8,287 ",Y
C2e Renewables NC Digester,,Centralized/Regional,Warsaw,Duplin,NC,Unknown or Unspecified,Construction,2020,Swine;Poultry,,,,,Food Wastes; Slaughterhouses,,,Pipeline Gas,,Carbon Cycle Energy (C2e) [Project Developer],Duke Energy,,
Catawba Biogas Digester,,Centralized/Regional,Lilesville,Anson,NC,Unknown or Unspecified,Construction,2019,Broiler,,,,,,,,Pipeline Gas,,,Piedmont Natural Gas,,
Loyd Ray Farms Digester,,Farm Scale,Boonville,Yadkin,NC,Covered Lagoon,Operational,2011,Swine,,,," 8,640 ",," 50,400 "," 483,990 ",Electricity,,"Cavanaugh & Associates [System Designer, System Design Engineer]; Duke University [Project Developer]",Surry-Yadkin Electric Membership Corporation," 9,205 ",Y
Murphy Brown LLC - Kenansville Farm #2539 Digester,,Farm Scale,Faison,Duplin,NC,Covered Lagoon,Operational,2008,Swine,,,," 10,500 ",,,,Boiler/Furnace fuel,,"Environmental Fabrics, Inc. [System Designer, Construction & Installation, Biogas Membrane Supplier]",," 12,176 ",
Optima KV RNG Plant,,Multiple Farm/Facility,Kenansville,Duplin,NC,Covered Lagoon,Operational,2018,Swine,,,," 60,000 ",,," 11,000,000 ",Pipeline to Electricity,Yes,Cavanaugh & Associates [System Designer]; Optima BioEnergy [Project Developer],"Piedmont Natural Gas, Duke Energy"," 69,370 ",Y
RES Ag DM 2 - 1 LLC Digester,,Farm Scale,Magnolia,Duplin,NC,Complete Mix,Operational,2013,Swine,,,," 42,000 ",,," 4,380,000 ",Electricity; Cogeneration,Yes,"Bio-Terre Systems, Inc. [System Designer, System Design Engineer]; Revolution Energy Solutions, LLC [Project Developer, System Designer]",Four County Electric Membership Coop," 46,074 ",
RES Ag DM 4 - 3 LLC Digester,,Farm Scale,Magnolia,Duplin,NC,Complete Mix,Operational,2013,Swine,,,," 30,000 ",,," 7,008,000 ",Electricity; Cogeneration,Yes,"Bio-Terre Systems, Inc. [System Designer, System Design Engineer]; Revolution Energy Solutions, LLC [Project Developer, System Designer]",Four County Electric Membership Coop," 35,677 ",
Storms Farm Digester,,Farm Scale,Bladenboro,Bladen,NC,Mixed Plug Flow,Operational,2013,Swine,,,," 28,000 ",Other Feedstocks,," 4,467,600 ",Electricity,Yes,"AgPower Group, LLC [Project Developer, System Designer, Construction & Installation]; DVO, Inc. (formerly GHD, Inc.) [System Designer, System Design Engineer]",North Carolina Electric Membership Corporation," 31,820 ",
Union County Green Energy Biogas Park Digester,,Centralized/Regional,Monroe,Union,NC,Unknown or Unspecified,Construction,2020,Swine,,,,,,,,Pipeline Gas,,GESS International [Project Developer],,,
Wilson County Green Energy Biogas Park Digester,,Centralized/Regional,Stantonburg,Wilson,NC,Unknown or Unspecified,Construction,2020,Swine,,,,,,,,Pipeline Gas,,GESS International [Project Developer],,,
Double Dutch Dairy Digester,,Farm Scale,Shelby,Polk,NE,Covered Lagoon,Operational,2024,Dairy,," 5,000 ",,,,,,CNG,,Maas Energy Works [Project Developer],," 46,967 ",
Tuls Dairy Butler County Digester,,Farm Scale,Rising City,Butler,NE,Covered Lagoon,Operational,2023,Dairy,," 6,400 ",,,,,,CNG,,Maas Energy Works [Project Developer],," 60,118 ",
AA Dairy Digester,,Farm Scale,Candor,Tioga,NY,Horizontal Plug Flow,Operational,1998,Dairy,, 520 ,,,," 42,868 "," 613,000 ",Electricity; Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",New York State Electric & Gas," 1,897 ",
Adirondack Farms Digester,,Farm Scale,Peru,Clinton,NY,Complete Mix,Operational,2017,Dairy,," 3,500 ",,,,,,Pipeline Gas,Yes,"EnviTec Biogas USA, Inc. [Project Developer]",," 34,418 ",
Allen Farms Digester,,Farm Scale,Scipio Center,Cayuga,NY,Mixed Plug Flow,Operational,2023,Dairy,," 4,443 ",,,,,,,,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]; UGI Utilities, Inc. [Project Developer]",," 38,357 ",
Aurora Ridge Dairy Digester,,Farm Scale,Aurora,Cayuga,NY,Mixed Plug Flow,Operational,2009,Dairy,," 2,400 ",,,,," 1,068,720 ",Electricity,Yes,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 7,501 ",Y
Boxler Dairy Digester,Brightmark Yellowjacket,Farm Scale,Varysburg,Wyoming,NY,Mixed Plug Flow,Operational,2009,Dairy,," 2,000 ",,,Agricultural Residues,,,Cogeneration; Pipeline Gas,,"Brightmark [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",Empire interstate gas pipeline," 7,841 ",
Cayuga Regional Digester,,Centralized/Regional,Auburn,Cayuga,NY,Complete Mix,Operational,2013,Dairy,," 1,255 ",,,Food Wastes," 215,616 "," 4,624,000 ",Cogeneration,,"Blue Electron [Project Developer, System Designer]; Denali ROI [Project Developer]; GBU [System Designer, System Design Engineer]; Seeler Engineering [System Designer, System Design Engineer]",New York State Electric and Gas (NYSEG)," 6,822 ",Y
Coyne Farm Digester,,Farm Scale,Avon,Livingston,NY,Covered Lagoon,Operational,2008,Dairy,," 1,100 ",,,," 77,000 ",,Flared Full-time,Yes,"ClimeCo Corporation [Project Developer, System Designer]",," 9,525 ",
Creek Acres Farm Digester,,Farm Scale,Amsterdam,Montgomery,NY,Covered Lagoon,Operational,2009,Dairy,, 400 ,,,,,,Flared Full-time,,"Environmental Fabrics, Inc. [System Designer, Construction & Installation, Biogas Membrane Supplier]",," 3,464 ",Y
Fessenden Family Dairy Digester,,Farm Scale,King Ferry,Cayuga,NY,Covered Lagoon,Operational,2008,Dairy,, 650 ,,,," 40,000 "," 3,723,000 ",Flared Full-time,Yes,"ClimeCo Corporation [Project Developer, System Designer]; Environmental Fabrics, Inc. [System Designer, Biogas Membrane Supplier]",," 8,284 ",Y
Gardeau Crest Farms Digester,,Farm Scale,Perry,Wyoming,NY,Mixed Plug Flow,Operational,2012,Dairy,," 2,250 ",,,,," 4,467,600 ",Cogeneration,Yes,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 22,611 ",
Gardeau Crest Farms Digester: Brightmark RNG,Brightmark Helios,Farm Scale,Perry,Wyoming,NY,Mixed Plug Flow,Construction,2021,Dairy,," 2,250 ",,,,,,Pipeline Gas,,"Brightmark [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 22,126 ",
Greenwood Dairy Farm Digester,,Farm Scale,Canton,St. Lawrence,NY,Complete Mix,Operational,2014,Dairy,," 2,300 ",,,Process Water," 122,800 "," 2,803,200 ",Electricity,Yes,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer, Construction & Installation]",National Grid," 6,291 ",Y
Half Dutch Farm Digester,,Farm Scale,Clifton Springs,Ontario,NY,Covered Lagoon,Operational,2011,Dairy,, 700 ,,,,,,,,"Environmental Fabrics, Inc. [Biogas Membrane Supplier]",," 6,062 ",
Lakeshore Dairy Digester,,Farm Scale,Wilson,Niagra,NY,Complete Mix,Operational,2017,Dairy,," 1,900 ",,,,,,Electricity,Yes,"EnviTec Biogas USA, Inc. [Project Developer]",," 19,448 ",
Lakeshore Dairy Digester: Brightmark RNG,Brightmark Yellowjacket,Farm Scale,Wilson,Niagra,NY,Complete Mix,Construction,2021,Dairy,," 1,900 ",,,,,,Pipeline Gas,,"Brightmark [Project Developer]; EnviTec Biogas USA, Inc. [Project Developer]",Empire interstate gas pipeline," 18,684 ",
Lamb Farms Digester,,Farm Scale,Oakfield,Genesee,NY,Mixed Plug Flow,Operational,2010,Dairy,," 2,000 ",,,,," 3,350,700 ",Electricity,Yes,"DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",National Grid," 19,656 ",
Lamb Farms Digester: Brightmark RNG,Brightmark Yellowjacket,Farm Scale,Oakfield,Genesee,NY,Mixed Plug Flow,Construction,2021,Dairy,," 2,700 ",,,," 324,000 "," 3,350,700 ",Electricity; Pipeline Gas,,"Brightmark [Project Developer]; DVO, Inc. (formerly GHD, Inc.) [Project Developer, System Designer, System Design Engineer]",," 25,699 ",
Lawnhurst Farms Digester,Brightmark Helios,Farm Scale,Stanley,Ontario,NY,Complete Mix,Operational,2012,Dairy,," 1,650 ",,,Agricultural Residues; Dairy Processing Wastes; Food Wastes; Process Water," 182,400 ",,Electricity; Pipeline Gas,,"Brightmark [Project Developer]; EnviTec Biogas USA, Inc. [Project Developer]",," 7,583 ",
Lent Hill Dairy Farm Digester,,Farm Scale,Cohocton,Steuben,NY,Complete Mix,Operational,2023,Dairy,," 4,000 ",,,Food Wastes,," 8,000,000 ",Electricity,,"Ag-Grid Energy LLC [Project Developer]; Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer]",NYSEG," 35,394 ",
Noblehurst Farms Digester,,Farm Scale,LINWOOD,Livingston,NY,Complete Mix,Operational,2015,Dairy,," 1,850 ",,,Dairy Processing Wastes; Food Wastes," 432,000 ",,Cogeneration,,"EnviTec Biogas USA, Inc. [System Designer, System Design Engineer]",," 20,245 ",Y
Ridgecrest Dairy Digester,,Farm Scale,Genoa,Cayuga,NY,Covered Lagoon,Operational,2008,Dairy,," 1,650 ",,,," 115,500 ",,Flared Full-time,Yes,"ClimeCo Corporation [Project Developer, System Designer]; Environmental Fabrics, Inc. [System Designer, Biogas Membrane Supplier]",," 14,288 ",
Ridgeline Farm Digester,,Farm Scale,Clymer,Chautauqua,NY,Complete Mix,Operational,2001,Dairy,, 650 ,,,Food Processing Wastes," 325,000 "," 1,717,000 ",Cogeneration,,"Martin Construction Resource LLC (formerly RCM) [System Designer, System Design Engineer]",National Grid," 3,050 ",
Roach Dairy Farm Digester,,Farm Scale,Scipio Center,Cayuga,NY,Complete Mix,Operational,2010,Dairy,," 1,350 ",,,Process Water," 113,230 "," 2,102,400 ",Electricity,,"Martin Construction Resource LLC (formerly RCM) [Project Developer, System Designer, System Design Engineer]",," 4,798 ",Y
